Test Case ID,CaseCounter,TimeDifference,TotalMemory,FreeMemory
SList 10000 insert,440,424800,8474939392,1644875776,
SList 10000 insert,441,425700,8474939392,1644875776,
SList 10000 insert,442,426500,8474939392,1644875776,
SList 10000 insert,443,427400,8474939392,1644875776,
SList 10000 insert,444,428300,8474939392,1644875776,
SList 10000 insert,445,429200,8474939392,1644875776,
SList 10000 insert,446,430000,8474939392,1644875776,
SList 10000 insert,447,430900,8474939392,1644875776,
SList 10000 insert,448,431800,8474939392,1644875776,
SList 10000 insert,449,432700,8474939392,1644875776,
SList 10000 insert,450,433500,8474939392,1644875776,
SList 10000 insert,451,434400,8474939392,1644875776,
SList 10000 insert,452,435300,8474939392,1644875776,
SList 10000 insert,453,436300,8474939392,1644875776,
SList 10000 insert,454,437200,8474939392,1644875776,
SList 10000 insert,455,438100,8474939392,1644875776,
SList 10000 insert,456,439000,8474939392,1644875776,
SList 10000 insert,457,439800,8474939392,1644875776,
SList 10000 insert,458,440700,8474939392,1644875776,
SList 10000 insert,459,441600,8474939392,1644875776,
SList 10000 insert,460,442400,8474939392,1644875776,
SList 10000 insert,461,443300,8474939392,1644875776,
SList 10000 insert,462,444200,8474939392,1644875776,
SList 10000 insert,463,445100,8474939392,1644875776,
SList 10000 insert,464,446000,8474939392,1644875776,
SList 10000 insert,465,447000,8474939392,1644875776,
SList 10000 insert,466,447900,8474939392,1644875776,
SList 10000 insert,467,448700,8474939392,1644875776,
SList 10000 insert,468,449600,8474939392,1644875776,
SList 10000 insert,469,450500,8474939392,1644875776,
SList 10000 insert,470,451400,8474939392,1644875776,
SList 10000 insert,471,452200,8474939392,1644875776,
SList 10000 insert,472,453100,8474939392,1644875776,
SList 10000 insert,473,454000,8474939392,1644875776,
SList 10000 insert,474,454900,8474939392,1644875776,
SList 10000 insert,475,455700,8474939392,1644875776,
SList 10000 insert,476,456600,8474939392,1644875776,
SList 10000 insert,477,457500,8474939392,1644875776,
SList 10000 insert,478,458500,8474939392,1644875776,
SList 10000 insert,479,459400,8474939392,1644875776,
SList 10000 insert,480,460200,8474939392,1644875776,
SList 10000 insert,481,461100,8474939392,1644875776,
SList 10000 insert,482,462000,8474939392,1644875776,
SList 10000 insert,483,462900,8474939392,1644875776,
SList 10000 insert,484,463700,8474939392,1644875776,
SList 10000 insert,485,464600,8474939392,1644875776,
SList 10000 insert,486,465500,8474939392,1644875776,
SList 10000 insert,487,466400,8474939392,1644875776,
SList 10000 insert,488,467200,8474939392,1644875776,
SList 10000 insert,489,468100,8474939392,1644875776,
SList 10000 insert,490,469000,8474939392,1644875776,
SList 10000 insert,491,470600,8474939392,1644875776,
SList 10000 insert,492,471500,8474939392,1644875776,
SList 10000 insert,493,472300,8474939392,1644875776,
SList 10000 insert,494,473200,8474939392,1644875776,
SList 10000 insert,495,474100,8474939392,1644875776,
SList 10000 insert,496,475000,8474939392,1644875776,
SList 10000 insert,497,475800,8474939392,1644875776,
SList 10000 insert,498,476700,8474939392,1644875776,
SList 10000 insert,499,477600,8474939392,1644883968,
SList 10000 insert,500,478400,8474939392,1644896256,
SList 10000 insert,501,479300,8474939392,1644879872,
SList 10000 insert,502,480200,8474939392,1644863488,
SList 10000 insert,503,481300,8474939392,1644847104,
SList 10000 insert,504,482200,8474939392,1644847104,
SList 10000 insert,505,483000,8474939392,1644847104,
SList 10000 insert,506,483900,8474939392,1644847104,
SList 10000 insert,507,484800,8474939392,1644847104,
SList 10000 insert,508,485600,8474939392,1644847104,
SList 10000 insert,509,486500,8474939392,1644847104,
SList 10000 insert,510,487400,8474939392,1644847104,
SList 10000 insert,511,488200,8474939392,1644847104,
SList 10000 insert,512,489100,8474939392,1644847104,
SList 10000 insert,513,490000,8474939392,1644847104,
SList 10000 insert,514,490900,8474939392,1644847104,
SList 10000 insert,515,491700,8474939392,1644847104,
SList 10000 insert,516,492800,8474939392,1644847104,
SList 10000 insert,517,493600,8474939392,1644847104,
SList 10000 insert,518,494500,8474939392,1644847104,
SList 10000 insert,519,495400,8474939392,1644847104,
SList 10000 insert,520,496300,8474939392,1644847104,
SList 10000 insert,521,497100,8474939392,1644847104,
SList 10000 insert,522,498000,8474939392,1644847104,
SList 10000 insert,523,498900,8474939392,1644847104,
SList 10000 insert,524,499800,8474939392,1644847104,
SList 10000 insert,525,500600,8474939392,1644847104,
SList 10000 insert,526,501500,8474939392,1644847104,
SList 10000 insert,527,502400,8474939392,1644847104,
SList 10000 insert,528,503300,8474939392,1644847104,
SList 10000 insert,529,504300,8474939392,1644847104,
SList 10000 insert,530,505200,8474939392,1644847104,
SList 10000 insert,531,506000,8474939392,1644847104,
SList 10000 insert,532,506900,8474939392,1644847104,
SList 10000 insert,533,507800,8474939392,1644847104,
SList 10000 insert,534,508700,8474939392,1644847104,
SList 10000 insert,535,509500,8474939392,1644847104,
SList 10000 insert,536,510400,8474939392,1644847104,
